teks,sentiment,score
"Produksi beras  indonesia terutama yg berasal dari area pertanian dipulau jawa akan terus menurun.. Dikarenakan.. BPN kita mudah disuap oleh pengembang properti ini terkait ijin mendirikan perumahan dilahan ( sawah, ladang ) yg produktif Coba aturan yg dibuat pemerintah dipatuhi pemerintah itu sendiri maka luas sawah tidak akan menyusut dari tahun ke tahun",positive,0.8024842143058777
Loh Loh klaim indonesia surplus beras kemarin2 itu cuman hoax toh 😂😂40% impor beras dr india itu baru dr india blm dr vietnam dll,negative,0.9230130910873413
____*  Apakah negeri kita ini sudah Swasembada beras pak *____,neutral,0.6757972240447998
Petani Indonesia sangat kelebihan beras.,positive,0.8732521533966064
"Padahal indonesia gak perlu takut di embargo.
Andai tidak ada koruptor dan pengepul kotor, maka harga beras stabil dan stock melimpah ruah.
Sangat lebih dari cukup untuk kebutuhan negri",positive,0.9689393639564514
Di indonesia banyak berubah menjadi perumahan😢,neutral,0.9470160007476807
Yang setuju Indonesia harus mampu swasembada beras >>>>>>>,neutral,0.763049304485321
Siap2 Indonesia kurang beras,negative,0.9936562180519104
"Dasar media tukang memperbesar masalah
Padall biasa aja
Jgn mebesarkan dan membuat panik kaya covid",negative,0.9969833493232727
Kita lbh mementingkan kebutuhan psngan dlm negri sendiri,negative,0.9443284273147583
Di indonesia rakyanya gak keberatan gak ada beras.karna sudah cerdas.makan apa aja bisa.asal ada micin...😅😅😅,positive,0.6787207126617432
Hutan n iritrea😅,positive,0.7003685832023621
"Bhutan woeee, bukan hutan !",negative,0.964678943157196
"Coba indonesia pertanian nya maju khusus pertanian padi, ini mungkin kesempatan meningkatkan hasil pertanian petani hidup sejahtera,",positive,0.9814799427986145
indonesia be like : cuan cuan 🤑📈,negative,0.6529009342193604
"Kayaknya India nggak akan mampu ngejar stok beras utk rakyatnya,udah budaya mereka biarin rakyat kelaparan yg penting uang mengalir ke kantong bangsawan.Memang di India yg dihargai cuma yg punya derajat tinggi,bhkan pemerintah juga nggak ada perhatiannya pd rakyat kecil😢😢😢",negative,0.992095947265625
"Heran , rakyat India 1miliar kita indo cuma -300jt penduduk. Tapi beras mereka bisa export. Kita indo salah pengelolaan dimana ya.",negative,0.9940211176872253
Solusi krisis beras yaitu nengurangi konsumsi beras makam secukupnya jangan kenyang kenyang nanti bisa sakit mag,negative,0.969037652015686
Yuk petani ini kesemptan neningkatkan kualitas petani Indonesia,positive,0.7396278381347656
Tidak terpengaruh NKRI Karena mandiri makan buah juga bagus dan sehat,positive,0.9969598054885864
Indonesia aman tiap hari gue makan singkong ketela kentang beras jagung karena NKRI KAYA,positive,0.9877430200576782
"Kualitas bibit padi dan pupuk di indonesia perlu dinaikkan. Bukan hanya untuk kebutuhan pangan domestik, jika beras indonesia punya kualitas unggul dan bisa menembus pasar eksport maka akan menguntungkan banyak pihak. Mulai dari petani, pengepul, eskportir, pajak negara, bahkan para koruptor juga bisa ikut diuntungkan nantinya. Ayolah pemerintah sektor pertanian di indonesia sudah mulai kritis, sudah saatnya diupgrade ke level yang lebih tinggi.",positive,0.615361213684082
Semoga harga gabah ditingkat petani 1 juta/kuintal GKP,neutral,0.66080242395401
Waktunya diet keto,positive,0.5363161563873291
Jujur aja negara kita masih setara dg negara2  di Afrika..  Indonesia (para pemimpinnya) trlalu merasa GE'ER..,negative,0.7910202741622925
Jateng lgi musim panen raya,neutral,0.5694302320480347
Indonesia harus waspada...stock hrs ditambah entah bgmn caranya,negative,0.5935493111610413
Belajar dr china yg gurun aja bisa menghasilkan 3x lipat tu,positive,0.5021098256111145
gede juga y indonesia import berasnya...hadechh,positive,0.7885651588439941
"Semoga china, vietnam dan thailand menerapkan kebijakan yg sama",neutral,0.8091158270835876
Bisakah Indonesia ambil peran dalam permainan ini sodara2....😂🎉,neutral,0.9205306768417358
Rakyat India kalau makan nasi setinggi gunung Merapi 😂😂😂,neutral,0.6014231443405151
"Indonesia sudah berbuat apa ?
Bagaimana food estate ?
Swasembada pangan sangat penting jangan hanya sekedar import .",negative,0.7576245069503784
Alternatif mkn singkong lg donk..,positive,0.6587454080581665
"Knp beras dari impor, perasaan sy blm prnh beli beras impor deh plng beras cianjur ato jawa tengah didesa q jawa tengah bnyk juragan padi resmil jg bnyk hasilnya ton tonan mlh dikirim ke jakarta knp hrs impor aneh, tinggl ksh subsidi aja yg besar biar harga pupuk murah otomatis hasil padi melimpah petani semangat dpt untung, gitu aja ko repot mlh mikirin beras dari luar anehhh",negative,0.8493871688842773
"Emang harga beras import berapa saat ini, saat tulisan ini di tulis?
 Sangat memalukan bila harus import beras...buat bapak mentri pertanian dan perdagangan, coba sesekali turun ke desa2 melihat berapa harga jual gabah di tingkat petani...yang banyak nanam padi itu di desa2 bukan di kota... pernah enggak dinas pertanian turun melihat atau memantau petani di desa, saya kira enggak pernah.",negative,0.9945171475410461
"Alhamdulillah saya seorang petani.,.jadi stok beras aman untuk satu tahun kedepan..sambil menunggu panen berikutnya...😊😊😊",positive,0.8545326590538025
"Pupuk petani di korupsi
Irigasi di korupsi
Bendungan abal abal

Kalo punya otak
Irigasi pakai pompa besar 6"" 
Biar cepat olah tanah
Dan tanam

Masa harus pakai mesin kecil 3""beli sendiri pula

Harga gabah cuman 5000 doang

Gabah 7000
Dijamin kelompok tani aktif semua

Dijamin swasembada plus export beras

Manfaatkan sungai outlet",negative,0.929686427116394
"papua sgt cocok utk food estate terutama di Merauke  , sungainya besar dan airnya stabil , bisa cetak sawah, dan buat irigasinya.",positive,0.9908186793327332
Karawang gak disebut tuh.,negative,0.9845659136772156
Indonesia harus membangun kedaulatan pangan dan jangan hanya tergantung pada beras. Masyarakat harus dibiasakan menggunakan bahan pangan substitusi seperti jagung dan lainnnya.,neutral,0.6500920057296753
Yo generasi muda giat bertani jangan buruh terus.yg punya sawah lebar2 jangan di jualin,negative,0.9862231612205505
"TIDAK MUNGKIN INDONESIA KEKURANGAN PANGAN ,APALAGI KRISIS PANGAN ,YANG KRISIS ITU JUSTRU PEMERINTAHNYA ,NDAK BSA KORUPSI KARENA NDAK ADA IMPORT",negative,0.593895673751831
"Seharusnya Filipina bisa hasilkan beras..yg baik di sana sumber penelitian carian beras.. se-Asia..,dan punya lahan pertanian tropis yg luas dan SDM petani.perssis Vietnam..lni kesalahan pemerintah yg lemah tekhnologi nya... seperti NKRI... miris

..kdgatt",negative,0.9940954446792603
BRICIS ❤,positive,0.6588289141654968
apa  menteri2  jkw   sadari  hal  ini😮,neutral,0.9660101532936096
Semoga Indonesia kelaparan,negative,0.9924461245536804
Mantaaaaappppp,positive,0.9959359169006348
Laporkan ke wto,neutral,0.9933191537857056
"Indonesia ekspor beras dari india, karena lahan pertanian sudah dibangun pabrik dan perumahan subsidi 😂
Mknya sekarang harga beras mahal.",negative,0.9732988476753235
Heran.......pernah beberapa bln di India yg sebagian negaranya tandus kok bisa ekspor beras ke manca negara....sementara Indonesia yg subur dan penduduknya cuma seper 6 penduduk India jadi pengimpor beras????? Dasar otak jongkok....memprihatinkan.,negative,0.9973548650741577
Biar pada tau mati !  Bisanya ngutang buat beli beras !,negative,0.9929973483085632
"Luar biasa bukan main mantap hebat....biar pemerintah Indonesia membuka wawasan pemikiran... berapa menyedihkan pertanian Indonesia.... pupuk jarang,... tidak ada pendamping an dari pemerintah.. seperti berjalan Tampa tujuan.... satuan perrahu satu kapal tapi beda tujuan....",negative,0.9786230325698853
Suasembada pangan RI masih omong kosong & kini tinggal menunggu datangnya kegaduhan nasoonal terkait beras..,neutral,0.8767035603523254
"Itu baru cerdas... 
Beda dngn negara wakanda... 
Penjilat semua",negative,0.9953784942626953
"Ini hanya sentimen kepada negara barat. Amerika, Kanada dan Inggris jarang mengkonsumsi beras atau nasi. Justru yg kena dampak adalah negara Afrika, timur tengah dan sebagian Asia termasuk Indonesia. Wkwkkkk",negative,0.9886720180511475
"Beras mahal, ganti ke umbi2an 😊",negative,0.9852950572967529
"Tenang, wakanda impor jempolan",positive,0.994403600692749
"Man tul, Rusia stop Energi dan blokade laut hitam, India stop Beras RI stop sda dan minyak sawit. Pasti UE  tamat. Cocok banget biar UE merasakan nikmatnya hidup yg serba kekurangan.👍👍👍",positive,0.9535622000694275
India bijak,positive,0.984243631362915
"Ngapain takut negara kita surplus beras bahkan kita bisa exspor beras tapi itu duluuu kehebatan jaman presiden alm suharto ,tapi sekarang kita ???????",negative,0.9854058027267456
Peluang  Agrobisnis Produk Biji Bijian Beras khusus Ekspor dari Indonesia ke Philippina,neutral,0.9429754614830017
Panen Beras dapat didatangkan dari Vietnam.,neutral,0.9942856431007385
"Maka dari itu ,saya ingin hidup sebagai petani karena petani umat yg sangat di hormati oleh para nabi sebab jika tidak ada petani maka semua yg ada di bumi tidak akan bisa bertahan hidup🙏
Ambil contoh seorang pejabat dia tidak bisa makan kalau tidak ada petani,,bisa makan gi mana ,,beras sebelum jadi nasi mungkin awalnya harus di tanam dulu.😀😀",negative,0.6391727328300476
"Dulu aq sll mbantu ortu d sawah,lah skrg takut sejak beberapa buruh tani kena kulit keong jd tetanus hingga meninggal,semoga petani memakai safety alas kaki dirancang khusus shg aman bekerja",positive,0.9001609683036804
"Tidak ada yang mau jadi petani, tapi mau makan nasi",negative,0.9285505414009094
https://youtube.com/@kasisolusi,neutral,0.9536837339401245
"Saatnya indonesia bener bener konsen pada pertanian agar ketahanan pangan bisa terpenuhi, subsidi pupuk dan obat obatan, ketersediaan pengairan yg cukup. Dunia lagi tidak baik baik saja, semua negara menahan eksport pangan. Kalau indonesia tdk bisa memenuhi pangannya sendiri bisa bahaya.",negative,0.983630895614624
negeri prindapan ini terlalu sok soan mau jadi pemain global bersaing sama china.. padahal jauh antara langit dan bumi..,negative,0.9978048205375671
Indi keren jadi pengendali pangan dunia,positive,0.9842342734336853
nkri udah drop pertaniannya pdahal kita negara agraris karena pemimpin kita senengnya bangun tol bro,positive,0.7304361462593079
"Klu nanem msh numbuh mah aman, 1nsyaallah...1ndonesia luas subur, tongkat kayu dan batu aj jd tanaman, kata koesploes, maasyaallah.😊",neutral,0.5127472877502441
"Bukannya beras india panjang2 ya sejenis beras basmati, asia timur tidak mengkonsumsi beras seperti itu.",negative,0.990307092666626
Bukannya indonesia ambil dari vietnam y,negative,0.9476745128631592
Jarang harga beras tinggi petani sejahtera sebab di NKRI cuma sedikit WNI yg punya lahan pertanian haaa,negative,0.9594722986221313
Harga beras bisa turun bila pemrintahan tak ada lagi haaaa.,negative,0.679636538028717
Harga beras saat ini sebaiknya 20 000 per kg pupuk saat ini 400 000 per zak biaya produksi naik,neutral,0.9868407249450684
Turunkan harga beras,neutral,0.915860116481781
Pas mau pemilu belain petani nie bossss😂,neutral,0.511286199092865
Harga beras  di daerah kami di dongala sd 15rb per kg,neutral,0.9665207862854004
Harus di naikan Kasihan Rakyat Kecil Petani Susah dapat Pupuk dan Mahalnya Pupuk dan Obat2an untuk Pertanian Sedangkan Pemerintah belum Maksimal Bantu Petani Kecil Harusnya Makin Naik Sampai 60 ribu per Kg biar terbiasa Ayo jangan Jual Beras Murah Agar Rakyat Terangkat Ekonominya,negative,0.9880088567733765
"apa upaya pemerintah????? 
yaa korupsiiiii laaaaaahh",negative,0.9977508187294006
Daripada bangun ikn lebih baik buka lahan sawah sebanyak banyaknya 😢,neutral,0.8186889886856079
Pada mikir apa bos. Senangnya beras naik umr kagak naik.,negative,0.9946241974830627
"Harga beras dipasar tinggi, apakah  kesejahteraan petani meningkat ?",negative,0.8611891865730286
oetani miskin gk ad yg mau jd petani,negative,0.996183454990387
Assalamualaikum harapan masyarakat sulawesi tenggara berharap di tangani juga untuk wilayah ini,neutral,0.9322736859321594
Kalau.mau turun harga .biaya petani Juga harus turun terutama pupuk,negative,0.6011911034584045
"Di aceh harga beras 1 sak 15 kg harganya 220.000,- rakyat menjerik tidak sanggup lagi beli beras. Rakyat   banyak miskin,  pns udah miskin juga apa lagi yang tidak ada tukin.",negative,0.9960732460021973
Tlong pemerintah turunkan harga beras. Kami rakyat tersiksa dengan kenaikan beras,negative,0.9964590668678284
IMPOR sebanyak2 nya biar petani hancur sekalian,negative,0.9969550371170044
"Kapan ada berita beras turun,ngomong ja",negative,0.6312790513038635
Mengapa dijawa tengah sampai 14 ribu sampai 16500,neutral,0.7663712501525879
Petani untung besar tpi klok orang gak punya sawah.trus miskin.bsa jdi gak bsa makan,negative,0.954649031162262
Tpi klok trus2an naik bgai mna nsip kmi yg miskin.ap kmi bsa mkan,negative,0.9633558392524719
Indonesia harus fokus. Membuka lahan baru untuk cocok tanam😂😂😂,neutral,0.9642245769500732
Klu sampai ngimpor beras. Jgn ngaku negri ini sbgai negri agraris. Malu la....,negative,0.9971538782119751
Krisis berjalan,negative,0.991268515586853
harga beras naek kok pada repot ...lalu kenapa harga pupuk naek 3× lipat kok gak ada yg mau bahas  inilah negara Indonesia.....,negative,0.9825364351272583
Buat Pemilu mendatang jngn salah pilih pemimpin....,negative,0.9935150146484375
"Mana ada pejabat"" exsekutif / legislatif, yg mikirin rakyat bulsit, omong kosong",negative,0.9967647790908813
"1:46  apa upaya untuk membuat kesimbangan harga beras ???
bukan cuman menekan harga beras..

semakin tinggi harga bahan baku pokok makin merata kemakmuran jangan cuma jd lahan bisnis pejabat.",negative,0.8417143821716309
"Buat apa menurunkan harga beras..
lebih baik tugas pemerintah menaikkan  pendapatan rakyat..

jangan lempar tugas ketahanan pangan hanya ke petani",negative,0.9916868805885315
Tolong pak persiden ini saya kurang mampu tapi gak oersentuh bantuan turunkan harga beras agar saya tidak sampai mati kelaparan,negative,0.9576252102851868
"India yg penduduknya  3x Indonesia aja bisa eksport beras, lha kita eksport tki he deh.",negative,0.9548091888427734
Tolong tetapkan harga beras turun tgl berapa jam berapa jangan hanya berita saja,negative,0.6962055563926697
Pemerintah harus memberikan kebutuhan petani yg cukup.... Seperti pupuk yg sering langka dn terus mahal..... Itu harus cepat teratasi  .....,positive,0.5853085517883301
Pemerintah maunya harga beras turun emang ga di itung harga petani beli pupuk naik taraktor naik karena BBM naik,negative,0.9595751762390137
"Barang import kurang laku ..
Barang lokal malah mahal..",negative,0.9978759288787842
"Saya ini juga petani ya seperti ini resiko kalau penyuplai pupuk kepada petani kususnya pupuk yang subsidi itu sangat bertele tele sehingga kami yang biasanya per hektar kami pupuk tujuh kwintal itu kalau pupuk itu mudah terjangkau kalau saat ini pupuk pada petani dipersulit kami hanya kami pupuk empat kwintal per hektarnya secara otomatis hasil produksi ya pasti berkurang gak seperti yang diomongin di media itu nggak cocok seperti keadaan dilapangan kalau nggak percaya cek ke petani langsung jangan laporan laporan melulu karena sejak tahun 2023 kami nggak dapat subsidi pupuk begitu kira kira akibatnya,",negative,0.9935030341148376
"Swasembada pangan seperti jaman dahulu sepertinya sdh sulit dicapai indonesia.

Pertanian yg terlupakan dan tersisihkan",negative,0.988620936870575
Rakyat makin menderita beras makin naik,negative,0.989990234375
Yaallah kapan beras makin mahal kami rakyat biasa egk bisa beli,negative,0.9843889474868774
"Ada Mapia beras
Beras di tupuk di gudang",neutral,0.9948392510414124
Bagaimana produksi padi tidak turun. Saya sebagai petani saja malas kurang semangat karna kebijakan harga murah padahal biaya produksi semua naik bahkan banyak sawah yg alih fungsi bukan untuk perumahan atau jalan tol tapi banyak di tanami rumput odot untuk makanan ternak juga jambu kristal karna lebih menguntungkan di banding tanam padi,positive,0.9899537563323975
Haga beras naik / mahal muaaasuk. Dan semoga harga beras terendah 20 rb. Biar petani mau tanam padi.,negative,0.8609596490859985
Haga beras naik / mahal muaaasuk. Dan semoga harga beras terendah 20 rb. Biar petani mau tanam padi.,negative,0.8609596490859985
"sdh mulai petani bisa bernapas apa bila bila beras naik, selama ini saya menanam padi terus rugi karna tdk sesuai biaya pengolahan, teman2 sdh beralih menanam kelapa sawit ,salak ,ubi, jagung dll",negative,0.9045695662498474
Kuatkan pertanian indonesia biar kita bisa swasembada beras karena makanan pokok orang indonesia itu nasi makanya jangan malas untuk bertani,positive,0.916261613368988
"Gak usa makan nasi.ganti ubi ataw keladi ...!
Beresss..gitu z repot",negative,0.9812933802604675
"Sabar...sabar...tenang..tenang
semoga..tahun depan harga beras turun Stok beras digudang masih banyak tapi nanti dulu biar  di gudang dulu nanti harganya naik baru tak keluarkan untuk bayar utang yg  buat beli sepur cepat.Kapan beras turun kapan kapan aja",negative,0.8701799511909485
Sama.di malaysia pun harga semua barang meroket apa lgi beras sekali naik beras itu sekitar rp.15.000 dan sekarng 30.000 lebih naiknya dri yg 10kg,negative,0.5842688083648682
Keterlaluan Banget....Beras sampai meroket naik....lama2 mampuss kita semua rakyat kecil,negative,0.9983409643173218
Bagai mana cara menebus beras di bulog,neutral,0.9604416489601135
"Selama harga ekonomi tak terkawal pemerintah,,maka yg membahayakan juragan2 penimbun,,, semoga di mengerti",negative,0.9563250541687012
"Nggak Tahu lah, Mau Fluktuatif Harga Beras. 😔😔😔🦸‍♂️🦸‍♂️🦸‍♂️🪐🪐",negative,0.9413328766822815
harga beras di indonesia harus lebih mahal dari harga BBM biar petani lbih sejahtera karna tanpa bbm kita masih bisa hidup tapi kalau tanpa beras apa kamu yakin bisa hidup.,negative,0.9240623116493225
👉🏽🔓Bulan🔓oktober🔓tak🔓lama🔓lagi🔓👈,positive,0.9349061250686646
Melihat berita di kompas smpe ngntri mau bli beras murah lbih lbih jmn  pagluk Bru terjadi di JM sekrng apa apa serba ngantri,negative,0.9138763546943665
"Harga beras, itu tergantung harga bibit, operasi, tenaga krj buruh tani paling murah, sekarang buruh tani,sawah ,bangunan minta kerja sehari 200-500 k, dan pejabat negara gaji harus turun, masak dpr RI satu milyard sebulan,krj nya nggak jelas, beri rakyat nganggur, bantuan sosial satu jt tiap bulan, biar negara ini babak belur.. Mknya jadi pejabat jangan curang, cetak uang, minta upah gaji paling besar. Terlalu.",negative,0.9866480231285095
Kapan harga udang vanami naik pak😅,neutral,0.962497353553772
Dikampung harga 1500kg,neutral,0.8513286113739014
Planga plongo pak Lurah menerangkan tentang harga beras,neutral,0.9932355284690857
Pasti pemerintah akan bilang sama rakyatnya jangan banyak banyak makan...atau suruh tanam padi semua 😃😃😃,negative,0.9196919798851013
Syukur petani mau jual berasnya. Karena uang dimasak nggak bisa dimakan.,negative,0.8585602045059204
"semoga harga beras tetap naik agar kami juga petani padi bisa menikmati jeri paya kami.
Mau tau??? 
Biaya pengolahan sangat tinggi. yaitu  kurang lebih 8 juta per hektar.
jika panen normal hasil panen paling tinggi 6 ton.
tolong dikalkulasi biaya dengan harga Rp 5000 / kg 
berapa penghasilan petani selama 4 bulan .",neutral,0.5233248472213745
"HARGA BERAS MEROKET NAIK HARGA KOLOR  NAIK TURUN (KALAU MALAM) 
😁😁",neutral,0.9060352444648743
"Bukan hanya beras, gula, pengumuman gaji PNS naik tentu sembako naik. Tak ada yg aneh",negative,0.8860545754432678
Indonesia di kelilingi sawah tiap daerah punya sawah luas tpi selalu beras impor.... karena pemerintah ngak pernah ngurusin pertanian....,negative,0.8910415172576904
Perintah urus partai aja ngak urus rakyat....,negative,0.9963478446006775
"Perlu pemerintah rezim haram zadah ketahui, sekalipun harga sembako terus""an naik, terbukti rakyat menengah dan miskin tidak akan mati sekalipun kalian siksa hidupnya. Sembako akan turun jika kalian sakit diganjar terkena kutukan alam.",negative,0.991161584854126
Ini berita modus gak ysah digagas😂,negative,0.9409142136573792
Jangan meng harap harga beras menurun  patokkan nya harga baras menurun. Sejenis Brodok2 apa aja turun  baru harga beras bisa turun,negative,0.994184672832489
Tidak harus berkesimpulan lain,positive,0.7989708781242371
Saya petani jika panen gabah 4000 per kilo buat buka lahan lg pas pasan .makanya panen ke 2 di tempatku oda nimbun gabah sekarang harga 7600 per kilo,neutral,0.7199370265007019
"Kapan harga beras.bisa naik 
Kembali.agar petani bisa hidupnya sejah tera.damai 
Dan hasil pertanian lain nya 
Ikut naik.",negative,0.5524135231971741
Ya Allah bagi kami yg punya keluarga besar dan hanya kerja kuli bangunan sangat terasa iimbasnya dgn naiknya hrg beras ini mohon segera ada pasar murah,positive,0.9516816139221191
"Malaysia, beras, juga, naik,",neutral,0.9841822981834412
Ya siap siap protes pemerintah sudah pada tau tidak ada yang tanam padi siap siap tujuh bulan kedepan baru bisasetabil kalau ada huhan mulai tanam sampai sampai panen paling lama empat bulan kita berdoa semoga hujan segera turun petani bisa mulai tanam padi KALAU PETANI bahagia beras naik,positive,0.6865110993385315
Haraga karet sama pinang naikan juga pak biar adil,neutral,0.765407919883728
Kalau beras turun itu samasaja mengurangi penghasilan petani beras.,negative,0.9461577534675598
Mana yg dulu  lumbung padi terbesar seasean tp skrng mlempem kaya krupuk rakyat menjerit 😅😅,negative,0.976588249206543
"Harga beras pasti turun, kalau Allah limpahkan dari langit. Jika kita dengar alasan Pemerintah semua PHP, masih percaya.???",negative,0.8549386262893677
"Kalau beras diturunkan, pemerintah ga bakalan mampu menurunkan semua kebutuhan rakyat",negative,0.9841637015342712
"Giliran beras naik pemerintah ribut menurunkan, BBM naik ga mau nurunin malah dinaikan",negative,0.9926833510398865
Permainan...sebetulnya stok masih banyak...biasalah kan lagi butuh uang...makanya dinaikin...walahualam...,negative,0.99480801820755
"Praduga Tidak Bersalah : Kata teman saya bahwa para Politikus = Tikus2 Politiik RI banyak yang OmDo = Omong Doang akan tetapi tidak ada kerja nyata, rupanya setelah kita simak dan kita teliti memang begitulah atmosphir para Politikus = Tikus2 Politik di Nusantara.",negative,0.985090970993042
"Praduga Tidak Bersalah : 《Kisruh Pulau Rempang》""Kisruh Pulau Rempang"" menunjukkan ketidak mampuan Pemerintah Pusat & Pemerintah Daerah & Badan Pengelola Batam & Komisaris + Dewan Direksi Para Pengembang guna bersosialisasi pada Warga Rempang + meyakinkan Warga Rempang + menunjukkan kemampuan serta kesungguhan mengelola Relokasi Warga Rempang + melakukan Penggantian Secara Adil + mepersiapkan Lokasi dan Bangunan yang telah Lengkap dengan Sertifikat Hak Milik dan IMB + Sarana Jalan menuju Tempat Relokasi + Penggantian Mata Pencarian Warga yang Hilang gara=gara Relokasi. Sebab sudah sering sebelumnya terjadi Uang Penggantian bagi Warga tidak sepenuhnya diterima oleh Warga namun disunat serta dikorupsi oleh Oknum-oknum Pemerintah Pusat maupun Oknum-oknum Daerah maupun Oknum-oknum Pengelola.",negative,0.9031478762626648
"Kata y, negri ini negri yg kaya, kenapa kita cuma import, banyak warga kampung cari kerja ke kota ga mau bertani kenapa kata y, tanah y, subur , coba ada apa, pupuk y, blm bisa ber masyarakat coba d fikir kan bisa, klo mau ,mungkin bisa ekport",negative,0.8442575335502625
Celaka kalau sampai murah orang petani bisa rugi pupuk mahal semua serba mesin sekarang pak,negative,0.9969812035560608
bagus kalau beras murah pupuk mahal kapan nasib petani baik,negative,0.969987690448761
Jgn cm harga beras syru turun..pupuk juga,negative,0.8620942234992981
"Jangan harga beras yg d pertanyakan,coba tengok harga pupuk yg bikin prtani menjerit",negative,0.984289824962616
"Kl harga beras naik terus, tentu pemerintah akan membantu repot tentunya, beli beras bawa kk dan KTP.",neutral,0.6875617504119873
"petani tanya kapan harga gabah naiik agar petani busa sejahtera, jg ditekan donk petani",neutral,0.6511420011520386
Nunggu petani panen raya pasti beras turun,negative,0.4854697287082672
"Bagaimana klu indonesia jadi pengimpor beras.karena petani_ petani Indonesia sudah terus berkurang karena harga naik sedikit pun trs d tekan kembali,dan petani_petani muda lebih memilih pekerjaan yg lebih menjanjikan daripada mengolah sawah nya untuk tanam padi",negative,0.8210540413856506
Biar naik petani untung,positive,0.9755458831787109
Saya jadi pedagang beras jadi sulit.,negative,0.9954677820205688
Neng kene ko pangah 10 ewu ae ki piye,negative,0.9862871766090393
Sampai dikapankan pun brlum tentu,positive,0.5361890196800232
Pupuk urus   mAhal,negative,0.9966332316398621
"Harga beras jangan hanya dilihat dari pembeli, tapi juga dari pihak petani yg memproduksi beras dan juga harga internasional",neutral,0.6630970239639282
harga beras turun kalo orang sdh gk suka makan nasi lagi,negative,0.9924560785293579
Dagang AIR isi Ulang gak naik harga jual. Gimna usaha kecil bahan bahan naaikkkk,negative,0.6236773729324341
"Tenang saja ekonomi akan merokettt...

Tp dia lupa,setinggi2 nya roket akan hancur ketika jatuh...",negative,0.9932926893234253
"jalan utamanya saling bantu membantu itu hal bagus,dan harus dicari jalan keluarnya,",positive,0.9545409679412842
Kita serahkan kepada para pemimpin kiya bagaimana baiknya untuk masyarakat kita... Dan insya Allah selalu berserah diri kepada yang maha menciptakan kita semua aminn... Semoga kita selalu dalam lindungan nha,positive,0.9668137431144714
Menteri Keuangan Sampaikan Bulan Maret 2022 Harga pangan naik 13% Tapi kenyataannya Dimasyarakat Sejak Januari 2022 Harga Pangan Sudah Naik Sebesar 20%,neutral,0.9927074313163757
Konteksnya Menteri Keuangan Ibu Sri Mulyani Sampaikan Akhir tahun 2022 harga pangan naik 20% kenyataannya yang terjadi di masyarakat Harga pangan naik 20% Sejak Januari 2022. Jangan fanatik buta yaa 😂😂😂,neutral,0.9388753175735474
Tanah di Indonesia sangat subur tongkat kayu di tanam tumbuh jadi singkong 😂😂,positive,0.6623697280883789
