id,text,label
16,sebiar eropa merasakanbetapa sakitnya di tindas,negative
17,Waktu itu ke sini pesan nasi goreng dan kentang goreng nasi gorengnya semua suka Kentang gorengnya enak banget dan presentasinya bagus Keluarga bilang kopinya enak Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya Harganya cukup mahal namun karena makanannya enak semua jadi terbayarkan Tidak perlu pikir dua kali jika mau ke tempat ini lagi,positive
18,Kami makan malam di restoran itu dan pelayanannya cukup memuaskan Tempatnya luas ada yang berada di dalam ruangan ada yang diteras Makanan langsung dipilih dari meja saji di dalam restoran Ada pilihan menu segar yang baru digoreng pada saat dipesan dan sebagian besar menu tradisional Waktu tunggu tidak lama Penyajian unik karena tidak menggunakan piring melainkan memakai daun,positive
19,aku beli beras dari petani langsung,neutral
20,goreng terus bos sampai akhur tahunb,positive
21,ra ayat asia kuat banget makan beras,positive
22,Untuk makanan beragam hanya saja minyak terlalu banyak gurame goreng tidak enak karena tidak digoreng garing Juice yang ditawarkan terlalu banyak air dan kurang segar,negative
23,Ayah saya merupakan seorang pegawai net tv,neutral
24,sayang sekali indonesia masih import beras dari negara lain termasuk india,negative
25,dikampung ku juga dibawah kaki gunung sudah beralih ke sawit dulu masih bagus banget banyak sawah dan di tanam padipemandangan juga bagus sekarang sswahnya berubah jadi lading sawit,positive
26,Pagi pagi ingin marah dengan sinyal telkomsel,negative
27,Percayakah masyarakat indonesia dengan karangan bapak polisi yang terhormat ini Yang katanya sudah bertemu dengan pemotornya Silakan anda nilai mengarang di bawah ini Dapat nilai berapa,negative
28,Kami sekeluarga ke tempat ini karena hari sudah larut malam dan tidak ada resto lain yang buka Ternyata jam malam pun tempat ini masih macet parkir penuh dan tempat duduk di dalam resto penuh Petugas yang tampak kelelahan melayani dengan masam Ampun Akhirnya makanan kami bawa ke hotel,negative
29,untung aku punya tanahhektar persiapan swadaya pangan mandiri,neutral
30,alkhmdllhsemoga cpat kiamat,positive
31,Pertama kalinya datang ke eatalia saya datang bersama dengan teman dan orang anak Tidak memusingkan ketika memlilih makanan untuk anak karena di sini menyediakan menu dengan porsi anak Kami memesan pizza dengan roti berwarna hitam Untuk keseluruhan menu yang saya pesan tidak mengecewakan,positive
32,brin bisanya penelitiaya tetang pemilubikin drone gagal padahal dananya ratusan milyar,negative
33,Saya penasaran pingin makan di sini Ketika pesan suara mas masnya kecil sekali ampun deh tidak jelas bicara apa blubup blubup begitu haha Saya memesan mi ayam baso ekstra pacar saya memesan bakso urat soun Tidak lama datang pesanan pacar saya dan ternyata tidak sesuai ekspektasi,negative
34,Banyak komen di tripadvisor membuat saya penasaran bermodalkan perut kosong supaya melahap lontong padang kesukaan saya ternyata benar benar membuat kecewa akhirnya saya cuma minta dibungkus saja selera makan pun menjadi luntur Masih mending makan lontong padang yang di itb untuk rasa masih jauh,negative
35,loh loh klaim indonesia surplus beras kemarin itu cuman hoax toh impor beras dari india itu baru dari india belum dari vietnam dl,negative
36,Toyota menduduki peringkat pertama sebagai merek mobil yang paling bernilai,neutral
37,padahal indonesia enggak perlu takut di embargoandai tidak ada koruptor dan pengepul kotormaka harga beras stabil dan stock melimpah ruahsangat lebih dari cukup untuk kebutuhan negeri,positive
38,di indonesia banyak berubah menjadi perumahan,neutral
39,Restoran dengan pemandangan yang menawan meskipun harus ditempuh dengan kondisi yang cukup curam Namun terbayar dengan tempat dan rasa yang oke,positive
40,yang setuju indonesia harus mampu swasembada beras,neutral
41,siap indonesia kurang beras,negative
42,dasar media tukang memperbesar masalahpadal biasa ajajgn mebesarkan dan membuat panik kayak covid,negative
43,kita lebih mementingkan kebutuhan psngan dalam negeri sendiri,negative
44,Oh iya diketerangan kan note pro kok yang dikirim note ya kecewa juragan,negative
45,di indonesia rakyanya enggak keberatan enggak ada beraskarna sudah cerdasmakan apa saja bisaasal ada micin,positive
46,Pelayanan pt kami sangat memuaskan,positive
47,hutan n iritrea,positive
48,Senin pagi gue diisi dengan kegiatan wawancara sebelum jalan ke lokasi gue harus memesan gojek dan suasana masih hujan,neutral
49,Kasihan personil ungu sekarang sepi job gara gara ditinggal pasha,negative
50,bhutan woeeebukan hutan,negative
51,indonesia be like cuan cuan,negative
52,kayaknya india enggak akan mampu ngejar stok beras untuk rakyatnya sudah budaya mereka biarkan rakyat kelaparan yang penting uang mengalir ke kantong bangsawanmemang di india yang dihargai cuma yang punya derajat tinggi bhkan pemerintah juga enggak ada perhatiannya pada rakyat kecil,negative
53,Makanan court dengan banyak penyewa banyak pilihan Cocok untuk anak muda yang ingin nongkrong berkelompok sambil makan minum sesuai selera masing masing Parkir sangat luas,positive
54,heran rakyat india miliar kita indonesia cumajt penduduk tapi beras mereka bisa export kita indonesia salah pengelolaan dimana ya,negative
55,Terdapat banyak taman kota di malang,neutral
56,solusi krisis beras yaitu nengurangi konsumsi beras makam secukupnya jangan kenyang kenyang nanti bisa sakit mag,negative
57,yuk petani ini kesemptan neningkatkan kualitas petani indonesia,positive
58,Wah sama seperti saya ini mas barusan paket freedom l saya belum habis tapi sudah dibebankan tarif internet perlu sampai pulsa sekitar ribu saya disedot perampok,negative
59,Maklum sesama maling harus saling melindungi Jadi yang dimasalahkan adalah soal prosedur dan bukan substansi bahwa anggota dewan tertangkap tangan terima sogokan,negative
60,tidak terpengaruh nkri karena mandiri makan buah juga bagus dan sehat,positive
61,kualitas bibit padi dan pupuk di indonesia perlu dinaikkan bukan hanya untuk kebutuhan pangan domestikjika beras indonesia punya kualitas unggul dan bisa menembus pasar eksport maka akan menguntungkan banyak pihak mulai dari petanipengepuleskportirpajak negarabahkan para koruptor juga bisa ikut diuntungkan nantinya ayolah pemerintah sektor pertanian di indonesia sudah mulai kritissudah saatnya diupgrade ke level yang lebih tinggi,positive
62,semoga harga gabah ditingkat petanijuta kuintal gkp,neutral
63,waktunya diet keto,positive
64,jujur saja negara kita masih setara dengan negaradi afrikaindonesiapara pemimpinnyatrlalu merasa ge er,negative
65,jateng lagi musim panen raya,neutral
66,Peresmian pengoperasian kereta api bandara oleh presiden ri dengan simbolis penekanan tombol sirine yang menyuarakan genta didampingi oleh menteri perhubungan menteri bumn gubernur banten dirjen perkeretaapian kemhub dirut ap dirut pt kan dan dirut railink,neutral
67,Cocok untuk makan malam romantis dengan pasangan ketika merayakan momen berdua makanannya enak dan berkelas,positive
68,indonesia harus waspadastock harus ditambah entah bagaimana caranya,negative
69,belajar dari china yang gurun saja bisa menghasilkan kali lipat itu,positive
70,India sedang membuat superbike listrik berkecepatan tinggi,neutral
71,gede juga ya indonesia import berasnyahadech,positive
72,Saya datang ke maxi s resto bersama keluarga ternyata di sana ada pesta pernikahan pesta ulang tahun sehingga tempat jadi penuh sekali Pelayanannya jadi tidak baik Seharusnya kalau tempat memang penuh pihak resto memberitahukan kepada tamu sebelum tamu memarkirkan kendaraan saat itu hujan deras jadi jarak tempat parkir ke resto lumayan jauh Kalau perlu ditutup sementara selama pesta berlangsung,positive
73,semoga chinavietnam dan thailand menerapkan kebijakan yang sama,neutral
74,Saya dan keluarga mencoba bersantap di karamba resto karena sopir mobil sewa kami merekomendasikannya Kami memang tiba di tempat agak malam sekitar pakai meskipun restoran belum tutup atau bersiap siap akan tutup namun beberapa menu telah habis Bahkan ibu dan suami saya memesan nasi timbel yang sayur asemnya sudah habis dan diganti sup sayur oleh pihak resto Tidak banyak pilihan yang bisa kami pilih Kurang rekomendasi,negative
75,Makanannya enak enak dan eye catching untuk di foto suka Tetapi minumannya juga enak dan tempatnya nyaman untuk kumpul kumpul dengan teman,positive
76,bisakah indonesia ambil peran dalam permainan ini sodara,neutral
77,rakyat india kalau makan nasi setinggi gunung merapi,neutral
78,Sudah lama saya ingin pergi jalan jalan ke luar negeri,neutral
79,Makanan lumayan saya order spring roll agak oily harga hidangan utama cukup mahal Bangunan unik tapi lokasi tidak terlalu bagus sehingga tempatnya selalu terlihat sepi Saat order sebaiknya menyampaikannya lebih jelas sebab yang terjadi pada kami kami order tapi menerima item Pelayan sangat ramah tapi sikap kasirnya sedikit aneh Mungkin saya tidak akan kembali lagi,negative
80,indonesia sudah berbuat apabagaimana food estateswasembada pangan sangat penting jangan hanya sekedar import,negative
81,alternatif makin singkong lagi dong,positive
82,kenapa beras dari imporperasaan saya belum pernah beli beras impor deh plng beras cianjur atau jawa tengah didesa ku jawa tengah banyak juragan padi resmil juga banyak hasilnya ton tonan malah dikirim ke jakarta kenapa harus impor anehtinggl kasih subsidi saja yang besar biar harga pupuk murah otomatis hasil padi melimpah petani semangat dapat untunggitu saja kok repot malah memikirkan beras dari luar aneh,negative
83,Pakek telkomsel pengin marah terus hanya berbagi capture kurang dari kb muteer terus berujung gagal Tetapi kalau dipompakan bilangnya jaringan tidak bermasalah,negative
84,memang harga beras import berapa saat inisaat tulisan ini di tulissangat memalukan bila harus import berasbuat bapak mentri pertanian dan perdagangancoba sesekali turun ke desa melihat berapa harga jual gabah di tingkat petaniyang banyak nanam padi itu di desa bukan di kota pernah enggak dinas pertanian turun melihat atau memantau petani di desasaya kira enggak pernah,negative
85,Saya gunaka bb tipe saya mendapat info sejak kemarin dikenakan biaya gprs,neutral
86,Penakut tapi soksikan tidak takut diajak nonton film horror oke ayok selesai menonton tidak berani ke kamar mandi,negative
87,papua sangat cocok untuk food estate terutama di meraukesungainya besar dan airnya stabil bisa cetak sawahdan buat irigasinya,positive
88,karawang enggak disebut tuh,negative
89,Minimal punten saya mau beli tiket kami senen yogyakarta pakai promo yang bulan mei,neutral
90,Tempatnya besar Open hari Cocok buat ngemil Tempat duduk sofanya nyaman Sayang banyak mahasiswa yang mengerjakan tugas di sana jadi jarang kosong tempatnya kalau malam Hehehe,positive
91,indonesia harus membangun kedaulatan pangan dan jangan hanya tergantung pada beras masyarakat harus dibiasakan menggunakan bahan pangan substitusi seperti jagung dan lainnnya,neutral
92,Tidak pernah bisa bicara kata kata kasar ke pasangan walau tujuannya bercanda memang lagi marah banget karena saking respeknya saya ke dia,positive
93,ya generasi muda giat bertani jangan buruh terusyg punya sawah lebar jangan di jualin,negative
94,tidak mungkin indonesia kekurangan panganapalagi krisis panganyang krisis itu justru pemerintahnyandak bisa korupsi karena indak ada import,negative
95,seharusnya filipina bisa hasilkan berasyg baik di sana sumber penelitian carian beras se asia dan punya lahan pertanian tropis yang luas dan sdm petaniperssis vietnamlni kesalahan pemerintah yang lemah tekhnologi nya seperti nkri miriskdgat,negative
96,bricis,positive
97,Yang benar benar real tidak ada settingan,neutral
98,Cari di bukalapak saja Kalau kepepet sementara bisa gunakan punya redmi a,neutral
99,semoga indonesia kelaparan,negative
100,mantaaaaap,positive
101,laporkan ke wto,neutral
102,Saya sebagai warga jakarta malu kang sama oknum yang tidak bertanggung jawab yang mau sweeping bobotoh,negative
103,indonesia ekspor beras dari indiakarena lahan pertanian sudah dibangun pabrik dan perumahan subsidimknya sekarang harga beras mahal,negative
104,heranpernah beberapa bulan di india yang sebagian negaranya tandus kok bisa ekspor beras ke manca negarasementara indonesia yang subur dan penduduknya cuma seperpenduduk india jadi pengimpor berasdasar otak jongkokmemprihatinkan,negative
105,Bogor akan dipimpin kembali oleh bima arya,neutral
106,biar pada tau matibisanya ngutang buat beli beras,negative
107,luar biasa bukan main mantap hebatbiar pemerintah indonesia membuka wawasan pemikiran berapa menyedihkan pertanian indonesia pupuk jarangtidak ada pendamping an dari pemerintah seperti berjalan tampa tujuan satuan perrahu satu kapal tapi beda tujuan,negative
108,Baik selain wisata wahana saya juga suka wisata kuliner Sejak saya di bandung kuliner yang paling saya buru adalah siomay dan batagor Mungkin kalau batagor saya sudah akrab dengan batagor kingsley yang rasanya melegenda Untuk urusan siomay rasanya tidak salah kalau traveler memanjakan perutnya di saung siomay ini Seperti judulnya Teksturnya lembut bumbunya juga pas kena banget,positive
109,itu baru cerdas beda dngn negara wakanda penjilat semua,negative
110,beras mahalganti ke umbian,negative
111,Dengan membeli morinaga chil kid dan chil school senilai rp bunda akan mendapatkan voucher gopay rp,neutral
112,tenangwakanda impor jempolan,positive
113,man tulrusia stop energi dan blokade laut hitamindia stop beras ri stop sda dan minyak sawit pasti uetamat cocok banget biar ue merasakan nikmatnya hidup yang serba kekurangan,positive
114,Somasi yang dilayangkan rohayani seorang pecandu rokok kepada pt gudang garam tbk dan pt djarum belakangan memunculkan isu lain,neutral
115,Handphone saya lenovo kecemplung di comberan pas minggu baru beli jatuh di aspal pas ngebut naik motor sampai isinya ke mana mana telepon genggam saya masih bertahan mantap memang lenovo,positive
116,india bijak,positive
117,mengapai takut negara kita surplus beras bahkan kita bisa exspor beras tapi itu dulu kehebatan jaman presiden almarhum suhartotapi sekarang kita,negative
118,peluangagrobisnis produk biji bijian beras khusus ekspor dari indonesia ke philippina,neutral
119,maka dari itusaya ingin hidup sebagai petani karena petani umat yang sangat di hormati oleh para nabi sebab jika tidak ada petani maka semua yang ada di bumi tidak akan bisa bertahan hidup ambil contoh seorang pejabat dia tidak bisa makan kalau tidak ada petanibisa makan gi mana beras sebelum jadi nasi mungkin awalnya harus di tanam dulu,negative
120,Keunggulan holycow dibanding resto steak lain adalah wagyunya yang mantap Favorit saya adalah wagyu sirloin steak yang dinikmati dengan mushroom sauce Rasanya mantap Dagingnya tebal dan dinikmati dengan butiran jagung rebus sayur bayam dan masih potatto Enak dan mantap,positive
121,dulu aku selalu mbantu orang tua di sawah lah sekarang takut sejak beberapa buruh tani kena kulit keong jadi tetanus hingga meninggal semoga petani memakai safety alas kaki dirancang khusus shg aman bekerja,positive
122,tidak ada yang mau jadi petanitapi mau makan nasi,negative
123,Saya sangat puas dengan spesifikasi laptop asus,positive
124,saatnya indonesia benar benar konsen pada pertanian agar ketahanan pangan bisa terpenuhisubsidi pupuk dan obat obatanketersediaan pengairan yang cukup dunia lagi tidak baik baik sajasemua negara menahan eksport pangan kalau indonesia tidak bisa memenuhi pangannya sendiri bisa bahaya,negative
125,Dari zaman kuliah sampai sekarang masih doyan saja makan di kuis butcher Enak terjangkau tempatnya juga nyaman,positive
126,negeri prindapan ini terlalu sok soan mau jadi pemain global bersaing sama china padahal jauh antara langit dan bumi,negative
127,indi keren jadi pengendali pangan dunia,positive
128,nkri sudah drop pertaniannya padahal kita negara agraris karena pemimpin kita senengnya bangun tol bro,positive
129,kalau nanem masih numbuh mah amannsyaallahndonesia luas suburtongkat kayu dan batu saja jadi tanamankata koesploesmaasyaallah,neutral
130,Bakso yang unik Bakso dengan jenis jenis isian yang berbeda Ada yang isi keju daging cincang pedas dan urat Saya memilih cincang daging pedas ehmmmm rasanya sesuai dengan namanya Harganya murah tempat bersih,positive
131,bukannya indonesia ambil dari vietnam ya,negative
132,jarang harga beras tinggi petani sejahtera sebab di nkri cuma sedikit wni yang punya lahan pertanian ha,negative
133,harga beras bisa turun bila pemrintahan tak ada lagi ha,negative
134,harga beras saat ini sebaiknya per kg pupuk saat ini per zak biaya produksi naik,neutral
135,turunkan harga beras,neutral
136,pas mau pemilu membela petani ini bos,neutral
137,Wekkend yang menyenangkan bersama keluarga di tempat yang fasilitasnya memadai dan harga terjangkau Liburan makin menyenangkan dengan adanya kebun stroberi yang bisa memetik langsung dari kebunnya,positive
138,harga berasdi daerah kami di dongala sd ribu per kg,neutral
139,Ramayana kembali membuka cabangnya di samarinda,neutral
140,apa upaya pemerintahya korupsi laaaaaah,negative
141,daripada bangun ikn lebih baik buka lahan sawah sebanyak banyaknya,neutral
142,Tempat ini terkenal banget di kalangan mahasiswa Karena selain enak harganya juga termasuk murah kalau menurut saya Top deh,positive
143,harga beras dipasar tinggiapakahkesejahteraan petani meningkat,negative
144,Untuk mengajukan kerjasama sponsorship ibu elsa dpt menghubungi Pt Bank mandiri persero tbk corporate secretary,neutral
145,oetani miskin enggak ada yang mau jadi petani,negative
146,assalamualaikum harapan masyarakat sulawesi tenggara berharap di tangani juga untuk wilayah ini,neutral
147,Yang makan ramai antre menu masakan masakan standar seperti di rumah Rasa biasa saja Harga tidak sesuai kualitas rasa,negative
148,kalaumau turun harga biaya petani juga harus turun terutama pupuk,negative
149,Saat saya ingin mencari makanan yang berbagai macam pilihan saya pun di rekomendasikan oleh teman untuk makan di sini selain murah juga nikmat makanannya Hanya saja sedikit lama untuk kita menunggu pesanan,positive
150,tlong pemerintah turunkan harga beras kami rakyat tersiksa dengan kenaikan beras,negative
151,impor sebanyak nya biar petani hancur sekalian,negative
152,Saya memilih tempat makan di saung dengan pemandangan sawah memesan nasi timbel komplit surabi oncom dan colenak pesanan datang tidak harus menunggu lama Hanya saja saya kecewa dengan serabinya Di luar ekspektasi saya Tidak enak,negative
153,kapan ada berita beras turun mengomong saja,negative
154,Saya mencoba suis butcher di selai di suis butcehr di stiabudhi saya juga mencoba suis butcher di jalan Riau Saya lebih menyukai suasanan di suis butcher di setiabudi yang tidak terlalu ramai dan enak tempatnya buat ngobrol Makanannya saya suka tenderloin salad frencfries dan tiramisunya Harga dan rasa sebanding kok so setimpal sekali pelayanannya juga lumayan cepat,positive
155,mengapa dijawa tengah sampairibu sampai,neutral
156,Pergi untuk makan siang bersama keluarga yang terdiri dari orang dewasa dan anak anak Kami mendapatkan saung yang jauh di atas Kebayang dong jalan ke atas yang sangat melelahkan Tempatnya memang bagus tapi lokasi saung yang sangat jauh dan melelahkan menuju ke atas Saran saya kalau mau ke situ jangan pas makan siang karena pasti penuh Harga makanan lumayan misil Tapi pemandangannya bagus sekali,positive
157,petani untung besar tapi kalo orang enggak punya sawahtrus miskinbsa jadi enggak bisa makan,negative
158,tapi kalo trusan naik bgai mana nsip kami yang miskinap kami bisa mkan,negative
159,Hai eviana mohon maaf atas ketidaknyamanannya Untuk kontak dari indosat dapat mengakses tautan ini Silakan pengecekan ya Terima kasih Erf,neutral
160,kalau sampai ngimpor beras jangan mengaku negeri ini sebagai negeri agraris malu lah,negative
161,krisis berjalan,negative
162,Tempatnya menyenangkan santai dan sangat mudah ditemui karena bersebelahan dengan swalayan lotte mart,positive
163,Pemandangan kota bandung yang indah dapat disaksikan dari sierra kafe lounge Ada dua pilihan tempat bisa dalam ruangan maupun di luar Tempat yang romantis cocok untuk berduaan dan cocok juga buat kumpul bersama teman teman sambil melepas lelah karena udaranya sejuk dan menyegarkan Makanan yang disediakan juga lezat dan banyak pilihan Ada masakan indonesia asia bahkan eropa makanan barat,positive
164,harga beras naik kok pada repot lalu kenapa harga pupuk naik lipat kok enggak ada yang mau bahasinilah negara indonesia,negative
165,Awal tahun ini bakti budaya djarum foundation bekerjasama dengan dan garin workshop,neutral
166,mana ada pejabatexsekutif legislatifyg memikirkan rakyat bulsitomong kosong,negative
167,Cuma kalau besok mau mencari dia ada di rak yang dekat cream krim wardah bersebrangan sama rak lotion citra sister,neutral
168,apa upaya untuk membuat kesimbangan harga berasbukan cuman menekan harga berassemakin tinggi harga bahan baku pokok makin merata kemakmuran jangan cuma jadi lahan bisnis pejabat,negative
169,buat apa menurunkan harga beraslebih baik tugas pemerintah menaikkanpendapatan rakyatjangan lempar tugas ketahanan pangan hanya ke petani,negative
170,tolong pak persiden ini saya kurang mampu tapi enggak oersentuh bantuan turunkan harga beras agar saya tidak sampai mati kelaparan,negative
171,india yang penduduknyax indonesia saja bisa eksport beraslha kita eksport tki he deh,negative
172,Hasil quick count pilkada serentak diwarnai banyak kejutan,neutral
173,tolong tetapkan harga beras turun tanggal berapa jam berapa jangan hanya berita saja,negative
174,pemerintah maunya harga beras turun memang enggak di itung harga petani beli pupuk naik taraktor naik karena bbm naik,negative
175,Rumah makan zaman dahulu namun rasa tetap sama enaknya ayam dan nasi kreceknya enak sekali kadang saya sengaja beli untuk bungkus ke rumah,positive
176,barang import kurang laku barang lokal malah mahal,negative
177,saya ini juga petani ya seperti ini resiko kalau penyuplai pupuk kepada petani khususnya pupuk yang subsidi itu sangat bertele tele sehingga kami yang biasanya per hektar kami pupuk tujuh kwintal itu kalau pupuk itu mudah terjangkau kalau saat ini pupuk pada petani dipersulit kami hanya kami pupuk empat kwintal per hektarnya secara otomatis hasil produksi ya pasti berkurang enggak seperti yang diomongin di media itu enggak cocok seperti keadaan dilapangan kalau enggak percaya cek ke petani langsung jangan laporan laporan melulu karena sejak tahunkami enggak dapat subsidi pupuk begitu kira kira akibatnya,negative
178,Tim saya akan mengadakan makan malam tema di burgundy Daripada tersesat saya dan sekretaris saya mencoba mengecek tempatnya dahulu sehari sebelumnya Sekalian juga tes makanan Perjalanannya jauh sekali dan naik turun bukit Diperparah ketika kami ke sana itu hari minggu sore sehingga macet Sesampainya di sana sih pemandangannya oke Tapi layout restorannya biasa saja,negative
179,swasembada pangan seperti jaman dahulu sepertinya sudah sulit dicapai indonesiapertanian yang terlupakan dan tersisihkan,negative
180,Jalan Sukajadi kalau malam suka ada warga yang buang sampah di pinggir jalan orang orang kayak gitu harus dimusnahkan,negative
181,rakyat makin menderita beras makin naik,negative
182,yaallah kapan beras makin mahal kami rakyat biasa egk bisa beli,negative
183,ada mapia berasberas di tupuk di gudang,neutral
184,Kapal km fungka permata v terbakar sedikitnya tewas,neutral
185,bagaimana produksi padi tidak turun saya sebagai petani saja malas kurang semangat karena kebijakan harga murah padahal biaya produksi semua naik bahkan banyak sawah yang alih fungsi bukan untuk perumahan atau jalan tol tapi banyak di tanami rumput odot untuk makanan ternak juga jambu kristal karena lebih menguntungkan di banding tanam padi,positive
186,haga beras naik mahal muaaasuk dan semoga harga beras terendahrb biar petani mau tanam padi,negative
187,sudah mulai petani bisa bernapas apa bila bila beras naikselama ini saya menanam padi terus rugi karena tidak sesuai biaya pengolahanteman sudah beralih menanam kelapa sawitsalakubijagung dl,negative
188,Waktu kami datang kami dalam daftar tunggu walau banyak tersedia kursi kosong mungkin beberapa tidak terpakai namun staf tetap ramah walau ada beberapa pelanggan yang tidak senang dengan menunggu sambil melihat banyak kursi yang kosong Order makanan di belakang restoran dan menunya lumayan enak bagi kami Ini kunjungan kedua kami dan satu hal yang mengingatkan kami adalah penjual balon,positive
189,enggak usah makan nasiganti ubi ataw keladiberesssgitu saja repot,negative
190,sabarsabartenangtenangsemogatahun depan harga beras turun stok beras digudang masih banyak tapi nanti dulu biardi gudang dulu nanti harganya naik baru tak keluarkan untuk bayar utang ygbuat beli sepur cepatkapan beras turun kapan kapan saja,negative
191,samadi malaysia pun harga semua barang meroket apa lagi beras sekali naik beras itu sekitar rp dan sekarnglebih naiknya dari yang kg,negative
192,keterlaluan bangetberas sampai meroket naiklama mampus kita semua rakyat kecil,negative
193,Ini menyesal sekali makan indomie salted egg Makannya tadi pagi jam sampai sekarang after tastenya masih ada Gaenak banget lagi ya allah,negative
194,bagai mana cara menebus beras di bulog,neutral
195,Sudah indosat bangkrut saja di tmpt ku saja sinyal tb kdg hilang muncul hilang muncul padahal daerah kota semarang,negative
196,selama harga ekonomi tak terkawal pemerintahmaka yang membahayakan juragan penimbunsemoga di mengerti,negative
197,Pemandangan surabaya malam luarbiasa makanannya enak enak tetapi harganya luarbiasa juga jarak tidak terlalu jauh tapi pemandangannya luarbiasa dan suasananya asyik,positive
198,bulan oktober tak lama lagi,positive
199,Bukan cuma bisnis keluarga Tetapi menjaga kepentingan negara dan masyarakat tanpa membenturkannya dengan kepentingan global,neutral
200,melihat berita di kompas sampai ngntri mau beli beras murah lebih lebih jmnpagluk baru terjadi di jm sekarang apa apa serba mengantri,negative
201,harga berasitu tergantung harga bibitoperasitenaga krj buruh tani paling murahsekarang buruh tani sawahbangunan meminta kerja sehari kdan pejabat negara gaji harus turunmasak dpr ri satu milyard sebulan krj nya enggak jelasberi rakyat nganggurbantuan sosial satu juta tiap bulanbiar negara ini babak belur makanya jadi pejabat jangan curangcetak uangminta upah gaji paling besar terlalu,negative
202,Bidang lo bukan di dunia politik oon,negative
203,kapan harga udang vanami naik pak,neutral
204,Saya mau tutup kartu kredit dari beberapa bulan lalu nih,neutral
205,dikampung harga kg,neutral
206,Gunanya shazam Biar tahu lagu lagu ajaib yang diputer sopir gocar,neutral
207,Iya sih mi sedap isinya lebih banyak tapi soal rasa kalah jauh sama yang lain,negative
208,pasti pemerintah akan bilang sama rakyatnya jangan banyak banyak makanatau suruh tanam padi semua,negative
209,syukur petani mau jual berasnya karena uang dimasak enggak bisa dimakan,negative
210,Parah pesan bukalapak pakai gosend kemarin sampai sekarang belum sampai bagaimana ini Barangnya butuh sekali,negative
211,harga beras meroket naik harga kolornaik turunkalau malam,neutral
212,bukan hanya berasgulapengumuman gaji pns naik tentu sembako naik tak ada yang aneh,negative
213,indonesia di kelilingi sawah tiap daerah punya sawah luas tapi selalu beras impor karena pemerintah enggak pernah mengurusi pertanian,negative
214,perintah urus partai saja enggak urus rakyat,negative
215,perlu pemerintah rezim haram zadah ketahuisekalipun harga sembako terus an naikterbukti rakyat menengah dan miskin tidak akan mati sekalipun kalian siksa hidupnya sembako akan turun jika kalian sakit diganjar terkena kutukan alam,negative
216,ini berita modus enggak ysah digagas,negative
217,Susah payah selfie demi si samsung galaxy Yang penting usaha dan tetap bernyanyi,neutral
218,Paket saya juga sampai sekarang tidak sampai sampai sudah hari statusnya dengan pengiriman courier jakarta parah sekarang jne,negative
219,jangan meng harap harga beras menurunpatokkan nya harga baras menurun sejenis brodok apa saja turunbaru harga beras bisa turun,negative
220,tidak harus berkesimpulan lain,positive
221,Di restoran ini makanan yang disediakan banyak sekali dan harga cukup terjangkau suasana yang enak dan nyaman,positive
